T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
2.303	0.106302	0.015087	-5506.611816	4.652387	2.491138	0.061685	0.000020	0.000000
2.307	0.107302	0.011427	-5428.762695	4.014108	1.847605	0.049445	0.000012	0.000000
2.311	0.354797	0.009154	-5470.059082	4.231417	2.045459	0.056350	0.000007	0.000000
2.316	0.068773	0.011795	-5367.655762	3.775823	1.622681	0.047530	0.000012	0.000000
2.320	0.164520	0.013594	-5410.362793	4.087097	1.894235	0.054345	0.000016	0.000000
2.324	0.011291	0.011606	-5356.490234	3.750174	1.588927	0.047730	0.000012	0.000000
2.329	0.064200	0.010013	-5302.524414	3.631793	1.484715	0.044130	0.000009	0.000000
2.333	0.098599	0.010083	-5279.170410	3.880512	1.688814	0.052029	0.000009	0.000000
2.337	0.109622	0.011485	-5284.483398	3.953501	1.746519	0.046568	0.000011	0.000000
2.341	0.131954	0.008145	-5215.510254	3.580243	1.427064	0.041059	0.000006	0.000000
2.346	0.180081	0.008235	-5229.589355	3.560663	1.406344	0.041507	0.000006	0.000000
2.350	0.188203	0.007156	-5191.316406	3.474639	1.334331	0.037461	0.000004	0.000000
2.354	0.005711	0.009678	-5173.761230	3.789485	1.581329	0.049622	0.000008	0.000000
2.359	0.096365	0.007888	-5146.575684	3.359745	1.238496	0.036274	0.000005	0.000000
2.363	0.020167	0.008382	-5123.999023	3.505356	1.343289	0.038621	0.000006	0.000000
2.367	0.169781	0.007001	-5099.842285	3.593835	1.406848	0.039232	0.000004	0.000000
2.371	0.045922	0.007591	-5073.771484	3.340711	1.211261	0.034472	0.000005	0.000000
2.376	0.009612	0.007951	-5060.721191	3.298530	1.176610	0.032614	0.000005	0.000000
2.380	0.041077	0.006215	-5028.150879	3.331445	1.195891	0.034139	0.000003	0.000000
2.384	0.048384	0.008051	-5013.122559	3.519803	1.330148	0.037112	0.000006	0.000000
2.389	0.033132	0.007298	-4992.930176	3.206559	1.099973	0.031307	0.000005	0.000000
2.393	0.026215	0.007021	-4974.380859	3.350635	1.196742	0.035382	0.000004	0.000000
2.397	0.006855	0.005835	-4933.824707	3.202160	1.089126	0.030801	0.000003	0.000000
2.401	0.091740	0.005861	-4916.437500	3.200564	1.084161	0.031233	0.000003	0.000000
2.406	0.002247	0.005199	-4905.037598	3.275212	1.131282	0.032094	0.000002	0.000000
