T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-32767.984375	0.006968	0.000030	0.000014	-0.000000	0.000000
0.607	0.999997	0.000001	-32767.771484	0.027196	0.000306	0.000038	0.000000	0.000000
0.715	0.999972	0.000002	-32766.166016	0.077883	0.001812	0.000094	0.000000	0.000000
0.822	0.999875	0.000004	-32759.847656	0.160980	0.005852	0.000199	0.000000	0.000000
0.929	0.999617	0.000008	-32743.283203	0.284832	0.014334	0.000427	0.000000	0.000000
1.037	0.999029	0.000013	-32705.855469	0.459861	0.030026	0.000886	0.000000	0.000000
1.144	0.997900	0.000018	-32635.009766	0.656613	0.050267	0.001435	0.000000	0.000000
1.251	0.996000	0.000027	-32518.580078	0.929291	0.084155	0.002489	0.000000	0.000000
1.359	0.992975	0.000037	-32337.927734	1.240074	0.127113	0.003610	0.000000	0.000000
1.466	0.988329	0.000050	-32069.998047	1.580715	0.177402	0.005081	0.000000	0.000000
1.573	0.981718	0.000066	-31703.621094	1.979829	0.241621	0.006849	0.000000	0.000000
1.681	0.972095	0.000087	-31202.529297	2.444503	0.322803	0.009076	0.000000	0.000000
1.788	0.958637	0.000119	-30544.720703	3.003968	0.430701	0.012008	0.000000	0.000000
1.895	0.939238	0.000164	-29684.865234	3.617335	0.555810	0.015512	0.000000	0.000000
2.003	0.910971	0.000237	-28578.837891	4.409680	0.739804	0.020330	0.000000	0.000000
2.110	0.862538	0.000420	-27062.798828	5.452604	1.018974	0.029216	0.000000	0.000000
2.114	0.861415	0.000397	-27015.365234	5.413227	1.000242	0.027879	0.000000	0.000000
2.119	0.857340	0.000442	-26918.466797	5.594584	1.064068	0.029238	0.000000	0.000000
2.123	0.854412	0.000434	-26849.195312	5.596138	1.060365	0.029534	0.000000	0.000000
2.127	0.854064	0.000443	-26809.650391	5.631075	1.069324	0.030236	0.000000	0.000000
2.131	0.847378	0.000459	-26686.421875	5.585396	1.047819	0.030247	0.000000	0.000000
2.136	0.845400	0.000539	-26621.623047	5.800678	1.125618	0.032202	0.000000	0.000000
2.140	0.844496	0.000478	-26564.732422	5.710251	1.086433	0.030357	0.000000	0.000000
2.144	0.837553	0.000657	-26461.070312	6.115962	1.241322	0.036019	0.000000	0.000000
2.149	0.838648	0.000473	-26411.808594	5.798157	1.111221	0.031509	0.000000	0.000000
2.153	0.834605	0.000513	-26331.876953	6.026382	1.195647	0.033878	0.000000	0.000000
2.157	0.830134	0.000600	-26250.210938	6.036361	1.194848	0.033587	0.000000	0.000000
2.161	0.824172	0.000558	-26128.480469	5.904616	1.138732	0.033530	0.000000	0.000000
2.166	0.825492	0.000521	-26098.009766	5.942185	1.148709	0.032315	0.000000	0.000000
2.170	0.819823	0.000559	-25989.716797	5.996111	1.165038	0.033107	0.000000	0.000000
2.174	0.817112	0.000558	-25905.515625	6.026073	1.172076	0.032123	0.000000	0.000000
2.179	0.811262	0.000687	-25830.060547	6.431256	1.329744	0.037418	0.000000	0.000000
2.183	0.808659	0.000653	-25746.017578	6.367015	1.298199	0.036499	0.000000	0.000000
2.187	0.805007	0.000665	-25661.656250	6.279438	1.257787	0.035473	0.000000	0.000000
2.191	0.791594	0.000778	-25494.230469	6.481171	1.334665	0.037132	0.000000	0.000000
2.196	0.789724	0.000768	-25438.906250	6.561005	1.362414	0.038844	0.000000	0.000000
2.200	0.787491	0.000787	-25364.851562	6.635657	1.388170	0.040319	0.000000	0.000000
2.204	0.779816	0.000817	-25238.687500	6.765775	1.437538	0.039922	0.000000	0.000000
2.209	0.776364	0.000779	-25145.328125	6.252479	1.222930	0.033112	0.000000	0.000000
2.213	0.765417	0.001176	-25028.333984	7.413543	1.712636	0.050006	0.000000	0.000000
2.217	0.771771	0.000960	-25002.533203	7.185643	1.602744	0.052842	0.000000	0.000000
2.221	0.754206	0.000839	-24796.644531	6.765781	1.415439	0.038372	0.000000	0.000000
2.226	0.754242	0.000916	-24758.810547	6.709741	1.386733	0.040123	0.000000	0.000000
2.230	0.729773	0.001478	-24559.634766	7.124580	1.557503	0.044302	0.000000	0.000000
2.234	0.732580	0.001101	-24482.400391	7.248140	1.605816	0.045166	0.000000	0.000000
2.239	0.730122	0.001000	-24410.085938	6.753491	1.388785	0.040203	0.000000	0.000000
2.243	0.711960	0.001324	-24211.681641	7.600513	1.752277	0.051016	0.000000	0.000000
2.247	0.682102	0.002422	-24088.349609	8.502356	2.184426	0.057443	0.000000	0.000000
2.251	0.688029	0.001305	-23979.937500	7.355286	1.628557	0.046784	0.000000	0.000000
2.256	0.663012	0.002406	-23811.482422	9.308443	2.598400	0.070864	0.000000	0.000000
2.260	0.658192	0.002092	-23698.792969	8.025878	1.924369	0.053101	0.000000	0.000000
2.264	0.590406	0.003890	-23416.841797	9.706287	2.803909	0.080015	0.000000	0.000000
2.269	0.627363	0.001767	-23396.498047	7.755094	1.783156	0.049925	0.000000	0.000000
2.273	0.427071	0.005292	-22878.193359	9.519501	2.676727	0.071395	0.000001	0.000000
2.277	0.508373	0.003394	-22949.130859	7.898306	1.835724	0.051344	0.000000	0.000000
2.281	0.511485	0.003664	-22822.693359	8.839267	2.290545	0.063545	0.000000	0.000000
2.286	0.539760	0.002004	-22793.597656	7.782913	1.769133	0.049175	0.000000	0.000000
2.290	0.266361	0.005524	-22324.166016	8.198816	1.955922	0.052261	0.000001	0.000000
2.294	0.433015	0.004876	-22406.849609	7.985274	1.848437	0.051014	0.000001	0.000000
2.299	0.417921	0.003182	-22212.855469	8.452990	2.063596	0.057521	0.000000	0.000000
2.303	0.096728	0.006814	-21818.853516	7.224495	1.501762	0.042225	0.000001	0.000000
2.307	0.200900	0.007943	-21814.052734	7.497236	1.611289	0.043807	0.000001	0.000000
2.311	0.035641	0.006533	-21645.615234	7.890372	1.778091	0.050818	0.000001	0.000000
2.316	0.067964	0.004998	-21553.697266	7.433285	1.572214	0.043546	0.000001	0.000000
2.320	0.329482	0.002860	-21661.080078	7.279194	1.502141	0.042094	0.000000	0.000000
2.324	0.008170	0.005735	-21253.480469	7.626362	1.642767	0.046638	0.000001	0.000000
2.329	0.083042	0.005696	-21241.396484	7.575152	1.614818	0.047478	0.000001	0.000000
2.333	0.023455	0.006256	-21167.632812	6.840061	1.311788	0.038749	0.000001	0.000000
2.337	0.160558	0.006366	-21145.437500	7.523997	1.581418	0.043407	0.000001	0.000000
