T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-131071.929688	0.014689	0.000033	0.000007	-0.000000	0.000000
0.607	0.999996	0.000000	-131070.976562	0.057604	0.000343	0.000022	-0.000000	0.000000
0.715	0.999972	0.000001	-131064.593750	0.155099	0.001797	0.000063	-0.000000	0.000000
0.822	0.999879	0.000002	-131040.578125	0.319286	0.005755	0.000172	-0.000000	0.000000
0.929	0.999613	0.000004	-130972.140625	0.569420	0.014321	0.000419	0.000000	0.000000
1.037	0.999027	0.000006	-130822.773438	0.908254	0.029282	0.000829	0.000000	0.000000
1.144	0.997900	0.000009	-130540.468750	1.334840	0.051936	0.001470	0.000000	0.000000
1.251	0.995990	0.000014	-130071.984375	1.873429	0.085504	0.002449	0.000000	0.000000
1.359	0.992929	0.000019	-129341.429688	2.461480	0.125207	0.003639	0.000000	0.000000
1.466	0.988353	0.000025	-128285.039062	3.123451	0.173166	0.004871	0.000000	0.000000
1.573	0.981678	0.000033	-126810.281250	3.921648	0.237004	0.006548	0.000000	0.000000
1.681	0.972110	0.000044	-124812.414062	4.891016	0.323069	0.009235	0.000000	0.000000
1.788	0.958714	0.000059	-122196.210938	6.022680	0.432817	0.012220	0.000000	0.000000
1.895	0.939324	0.000083	-118760.179688	7.338241	0.571838	0.016575	0.000000	0.000000
2.003	0.910460	0.000127	-114279.820312	8.964350	0.764329	0.022329	0.000000	0.000000
2.110	0.863580	0.000198	-108325.484375	10.761851	0.992360	0.027764	0.000000	0.000000
2.114	0.860237	0.000201	-107981.453125	10.680969	0.973541	0.027657	0.000000	0.000000
2.119	0.857655	0.000210	-107699.273438	10.619853	0.958541	0.027798	0.000000	0.000000
2.123	0.854047	0.000226	-107377.250000	11.095013	1.042015	0.029105	0.000000	0.000000
2.127	0.852283	0.000239	-107154.078125	11.251134	1.067233	0.030832	0.000000	0.000000
2.131	0.850257	0.000212	-106864.679688	10.792830	0.978113	0.028524	0.000000	0.000000
2.136	0.846988	0.000230	-106549.445312	11.446056	1.095685	0.030990	0.000000	0.000000
2.140	0.842477	0.000238	-106180.539062	11.468437	1.095572	0.031679	0.000000	0.000000
2.144	0.840793	0.000240	-105931.375000	11.169587	1.035068	0.029366	0.000000	0.000000
2.149	0.837607	0.000288	-105659.742188	11.960548	1.182123	0.033593	0.000000	0.000000
2.153	0.832650	0.000272	-105250.546875	11.755427	1.137382	0.032999	0.000000	0.000000
2.157	0.829356	0.000297	-104928.671875	12.319549	1.244205	0.035695	0.000000	0.000000
2.161	0.826045	0.000274	-104613.000000	11.749350	1.127213	0.032091	0.000000	0.000000
2.166	0.823425	0.000280	-104326.968750	12.219275	1.214363	0.033720	0.000000	0.000000
2.170	0.818742	0.000296	-103941.617188	12.153969	1.196677	0.033198	0.000000	0.000000
2.174	0.809251	0.000442	-103472.890625	12.606156	1.282308	0.037325	0.000000	0.000000
2.179	0.808721	0.000357	-103184.656250	12.593282	1.274660	0.036283	0.000000	0.000000
2.183	0.805168	0.000369	-102873.632812	12.961625	1.345019	0.038116	0.000000	0.000000
2.187	0.800178	0.000397	-102523.171875	12.635603	1.273203	0.036399	0.000000	0.000000
2.191	0.795380	0.000395	-102133.273438	13.338553	1.413263	0.038928	0.000000	0.000000
2.196	0.792326	0.000382	-101807.085938	13.275312	1.394434	0.038137	0.000000	0.000000
2.200	0.784159	0.000434	-101296.617188	13.698111	1.478891	0.039680	0.000000	0.000000
2.204	0.776881	0.000527	-100910.460938	14.271156	1.598979	0.046480	0.000000	0.000000
2.209	0.773498	0.000451	-100551.421875	13.535078	1.432711	0.040006	0.000000	0.000000
2.213	0.768497	0.000421	-100157.789062	13.306778	1.379428	0.038456	0.000000	0.000000
2.217	0.757196	0.000602	-99671.773438	14.344441	1.596761	0.045188	0.000000	0.000000
2.221	0.750873	0.000607	-99266.546875	14.083505	1.533264	0.043120	0.000000	0.000000
2.226	0.743687	0.000632	-98863.101562	14.403834	1.597635	0.042770	0.000000	0.000000
2.230	0.726153	0.000794	-98222.156250	14.592591	1.633485	0.045174	0.000000	0.000000
2.234	0.722219	0.000744	-97780.554688	14.712693	1.654120	0.045975	0.000000	0.000000
2.239	0.727198	0.000647	-97543.742188	15.419963	1.810026	0.057437	0.000000	0.000000
2.243	0.698331	0.000911	-96795.242188	15.350916	1.787004	0.050297	0.000000	0.000000
2.247	0.667078	0.001256	-96056.968750	15.274984	1.762627	0.049487	0.000000	0.000000
2.251	0.690347	0.001043	-96034.445312	16.088785	1.948006	0.053225	0.000000	0.000000
2.256	0.655652	0.000926	-95109.937500	15.572851	1.818143	0.055085	0.000000	0.000000
2.260	0.638775	0.001159	-94523.710938	16.103630	1.936827	0.054280	0.000000	0.000000
2.264	0.583563	0.001629	-93763.500000	17.218723	2.205970	0.059611	0.000000	0.000000
2.269	0.587327	0.001432	-93335.773438	16.310774	1.971988	0.056816	0.000000	0.000000
2.273	0.030047	0.002666	-91373.679688	16.474867	2.004286	0.055607	0.000000	0.000000
2.277	0.399021	0.003298	-91199.101562	14.713401	1.592596	0.043000	0.000000	0.000000
2.281	0.008278	0.003665	-89781.437500	14.299944	1.498701	0.041974	0.000000	0.000000
2.286	0.312652	0.001775	-90209.156250	15.338107	1.717749	0.050010	0.000000	0.000000
2.290	0.028918	0.003158	-89086.835938	15.087951	1.655959	0.047336	0.000000	0.000000
2.294	0.178349	0.002573	-88672.179688	15.290212	1.694307	0.045319	0.000000	0.000000
2.299	0.011425	0.002831	-88099.851562	14.314622	1.479462	0.043352	0.000000	0.000000
2.303	0.142826	0.004308	-87813.265625	14.867251	1.589965	0.044921	0.000000	0.000000
2.307	0.000227	0.002862	-87191.687500	14.537750	1.514626	0.043300	0.000000	0.000000
2.311	0.044332	0.004011	-86612.101562	14.986318	1.603574	0.047143	0.000000	0.000000
2.316	0.059570	0.002154	-86239.515625	14.487308	1.493019	0.042058	0.000000	0.000000
2.320	0.068604	0.002202	-85661.171875	15.538834	1.711279	0.047678	0.000000	0.000000
2.324	0.030198	0.002227	-85240.039062	14.176600	1.419140	0.039944	0.000000	0.000000
2.329	0.032587	0.003256	-85042.101562	14.521536	1.483563	0.041019	0.000000	0.000000
2.333	0.048498	0.002062	-84451.007812	14.304035	1.434171	0.042946	0.000000	0.000000
2.337	0.016903	0.002246	-84008.210938	13.634654	1.298308	0.035410	0.000000	0.000000
2.341	0.004560	0.003202	-83609.632812	14.048355	1.373249	0.037955	0.000000	0.000000
2.346	0.001645	0.003163	-83270.429688	15.207666	1.603375	0.045509	0.000000	0.000000
2.350	0.003137	0.002065	-82882.617188	13.778099	1.311303	0.037791	0.000000	0.000000
2.354	0.015651	0.001821	-82585.937500	13.452173	1.245451	0.036490	0.000000	0.000000
2.359	0.014261	0.001974	-82180.445312	13.760035	1.298378	0.037215	0.000000	0.000000
2.363	0.018299	0.002146	-81821.570312	14.016313	1.342310	0.038225	0.000000	0.000000
2.367	0.018722	0.002021	-81450.250000	13.509513	1.242483	0.034268	0.000000	0.000000
2.371	0.016134	0.002032	-81161.601562	13.381188	1.214589	0.033255	0.000000	0.000000
2.376	0.000672	0.001688	-80727.296875	12.946700	1.132895	0.031524	0.000000	0.000000
2.380	0.002281	0.001694	-80395.031250	13.126041	1.160309	0.032799	0.000000	0.000000
2.384	0.024263	0.002269	-80004.453125	13.191862	1.167766	0.035431	0.000000	0.000000
2.389	0.020130	0.002021	-79790.804688	13.746137	1.263412	0.035073	0.000000	0.000000
2.393	0.013268	0.001825	-79456.476562	13.201595	1.161126	0.031650	0.000000	0.000000
2.397	0.008243	0.001680	-79156.484375	13.001433	1.122160	0.031735	0.000000	0.000000
2.401	0.002280	0.001301	-78831.867188	13.167872	1.146970	0.032518	0.000000	0.000000
2.406	0.002542	0.001560	-78468.656250	12.870709	1.091885	0.030802	0.000000	0.000000
2.410	0.005089	0.001302	-78164.484375	12.739535	1.065941	0.030691	0.000000	0.000000
2.524	0.000208	0.001034	-71170.039062	11.707417	0.821015	0.022562	0.000000	0.000000
2.637	0.001625	0.000802	-65730.273438	11.109634	0.677006	0.018783	0.000000	0.000000
2.751	0.000697	0.000596	-61252.625000	10.232544	0.527881	0.014900	0.000000	0.000000
2.864	0.001066	0.000550	-57450.171875	10.188377	0.482656	0.013564	0.000000	0.000000
2.978	0.001013	0.000491	-54135.136719	9.663122	0.401687	0.011244	0.000000	0.000000
3.091	0.000502	0.000424	-51264.597656	9.480156	0.358734	0.010234	0.000000	0.000000
3.205	0.000329	0.000383	-48733.765625	9.204136	0.314608	0.009026	0.000000	0.000000
