T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
2.303	0.234905	0.013283	-5503.815430	3.958155	1.803149	0.051028	0.000016	0.000000
2.307	0.011172	0.014882	-5477.229980	3.978553	1.815020	0.051734	0.000020	0.000000
2.311	0.032597	0.013167	-5421.791504	4.193974	2.009420	0.058220	0.000015	0.000000
2.316	0.324910	0.007018	-5402.510742	3.903802	1.734546	0.049380	0.000004	0.000000
2.320	0.146497	0.011957	-5363.179688	3.920545	1.742998	0.050796	0.000013	0.000000
2.324	0.209973	0.007851	-5343.284668	3.452644	1.346804	0.037974	0.000005	0.000000
2.329	0.215218	0.010124	-5326.066406	4.297776	2.079162	0.056764	0.000009	0.000000
2.333	0.174036	0.009785	-5292.385254	3.814684	1.632003	0.051303	0.000008	0.000000
2.337	0.127530	0.011237	-5293.844727	3.996091	1.784351	0.049106	0.000011	0.000000
2.341	0.075516	0.009277	-5222.448730	3.286216	1.202293	0.034544	0.000007	0.000000
2.346	0.145638	0.010863	-5258.056641	3.695540	1.514906	0.042400	0.000010	0.000000
2.350	0.058356	0.011429	-5217.405273	3.757656	1.560552	0.042140	0.000011	0.000000
2.354	0.111222	0.009375	-5179.810547	3.658535	1.473928	0.040595	0.000008	0.000000
2.359	0.090604	0.009284	-5153.636230	3.391964	1.262363	0.034999	0.000007	0.000000
2.363	0.133762	0.007818	-5115.598145	3.557385	1.383461	0.038836	0.000005	0.000000
2.367	0.131266	0.007465	-5083.548828	3.559178	1.379846	0.042538	0.000005	0.000000
2.371	0.184234	0.006908	-5078.133301	3.647757	1.444148	0.044061	0.000004	0.000000
2.376	0.021212	0.007125	-5031.253418	3.297894	1.176156	0.033907	0.000004	0.000000
2.380	0.028721	0.007395	-5019.703613	3.382584	1.232887	0.036543	0.000005	0.000000
2.384	0.033734	0.006422	-4982.598145	3.214826	1.109631	0.031191	0.000004	0.000000
2.389	0.112430	0.007094	-4997.978027	3.541541	1.341801	0.041016	0.000004	0.000000
2.393	0.002571	0.007622	-4961.399414	3.316089	1.172192	0.035847	0.000005	0.000000
2.397	0.061727	0.005555	-4934.493164	3.204273	1.090564	0.030727	0.000003	0.000000
2.401	0.052959	0.007658	-4944.237793	3.327934	1.172168	0.033535	0.000005	0.000000
2.406	0.010426	0.005594	-4896.912109	3.061935	0.988744	0.028390	0.000003	0.000000
2.410	0.019460	0.007691	-4896.354980	3.330192	1.165425	0.033823	0.000005	0.000000
2.524	0.016729	0.003930	-4450.587402	2.851645	0.779363	0.021298	0.000001	0.000000
2.637	0.015393	0.003242	-4110.655273	2.824172	0.699995	0.019983	0.000001	0.000000
2.751	0.004861	0.002538	-3834.289551	2.667144	0.573828	0.016297	0.000000	0.000000
2.864	0.001524	0.002093	-3584.609131	2.494560	0.462951	0.013059	0.000000	0.000000
2.978	0.000127	0.001920	-3383.691162	2.494422	0.428265	0.012279	0.000000	0.000000
3.091	0.000388	0.001746	-3205.098389	2.377151	0.360890	0.009962	0.000000	0.000000
3.205	0.001654	0.001531	-3045.194336	2.315622	0.318610	0.008808	0.000000	0.000000
3.319	0.001653	0.001487	-2904.179688	2.300473	0.293300	0.007995	0.000000	0.000000
3.432	0.000078	0.001376	-2776.230469	2.268473	0.266635	0.007587	0.000000	0.000000
3.546	0.000644	0.001334	-2658.877686	2.214637	0.238110	0.006723	0.000000	0.000000
3.659	0.001988	0.001227	-2554.177246	2.179833	0.216588	0.006192	0.000000	0.000000
3.773	0.000889	0.001173	-2453.331543	2.185336	0.204775	0.005750	0.000000	0.000000
3.886	0.000412	0.001170	-2362.939209	2.150315	0.186846	0.005244	0.000000	0.000000
4.000	0.000953	0.001106	-2280.902100	2.121781	0.171736	0.004909	0.000000	0.000000
