T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-131071.937500	0.014430	0.000032	0.000007	-0.000000	0.000000
0.607	0.999996	0.000000	-131071.062500	0.054671	0.000309	0.000020	-0.000000	0.000000
0.715	0.999972	0.000001	-131064.664062	0.153788	0.001766	0.000064	-0.000000	0.000000
0.822	0.999878	0.000002	-131040.234375	0.322267	0.005863	0.000176	-0.000000	0.000000
0.929	0.999616	0.000004	-130972.710938	0.571298	0.014416	0.000412	0.000000	0.000000
1.037	0.999031	0.000006	-130823.687500	0.900418	0.028779	0.000818	0.000000	0.000000
1.144	0.997906	0.000009	-130541.710938	1.337154	0.052116	0.001491	0.000000	0.000000
1.251	0.995977	0.000014	-130068.843750	1.888430	0.086879	0.002492	0.000000	0.000000
1.359	0.992942	0.000018	-129344.375000	2.430238	0.122048	0.003470	0.000000	0.000000
1.466	0.988347	0.000025	-128284.218750	3.158365	0.177059	0.005014	0.000000	0.000000
1.573	0.981689	0.000033	-126811.750000	3.984578	0.244671	0.006762	0.000000	0.000000
1.681	0.972190	0.000044	-124824.117188	4.892490	0.323264	0.009264	0.000000	0.000000
1.788	0.958675	0.000060	-122187.843750	6.033242	0.434337	0.012312	0.000000	0.000000
1.895	0.939341	0.000079	-118759.257812	7.089193	0.533682	0.015101	0.000000	0.000000
2.003	0.910419	0.000118	-114269.515625	8.704319	0.720630	0.020427	0.000000	0.000000
2.110	0.861832	0.000211	-108248.757812	10.691698	0.979464	0.027095	0.000000	0.000000
2.114	0.860721	0.000202	-108010.695312	10.857491	1.005985	0.028489	0.000000	0.000000
2.119	0.857927	0.000209	-107721.679688	11.017321	1.031634	0.029845	0.000000	0.000000
2.123	0.854895	0.000215	-107416.906250	11.076511	1.038543	0.029610	0.000000	0.000000
2.127	0.852732	0.000215	-107146.953125	11.197991	1.057175	0.029204	0.000000	0.000000
2.131	0.849672	0.000227	-106814.765625	11.417401	1.094594	0.031257	0.000000	0.000000
2.136	0.846004	0.000234	-106501.953125	11.355278	1.078374	0.030399	0.000000	0.000000
2.140	0.841685	0.000226	-106152.062500	11.132324	1.032296	0.028829	0.000000	0.000000
2.144	0.839650	0.000279	-105903.296875	11.881459	1.171209	0.032887	0.000000	0.000000
2.149	0.837004	0.000286	-105617.710938	11.834808	1.157398	0.032954	0.000000	0.000000
2.153	0.831953	0.000290	-105221.796875	11.871721	1.159997	0.032830	0.000000	0.000000
2.157	0.830209	0.000292	-104991.960938	12.052011	1.190752	0.033523	0.000000	0.000000
2.161	0.827639	0.000267	-104679.179688	11.864335	1.149384	0.033135	0.000000	0.000000
2.166	0.822446	0.000357	-104301.054688	12.405095	1.251578	0.035223	0.000000	0.000000
2.170	0.816781	0.000328	-103877.726562	12.390618	1.243731	0.034801	0.000000	0.000000
2.174	0.814941	0.000301	-103650.585938	12.036540	1.169042	0.032536	0.000000	0.000000
2.179	0.808229	0.000332	-103201.265625	12.437331	1.243285	0.034420	0.000000	0.000000
2.183	0.806908	0.000332	-102952.187500	12.599161	1.270845	0.035332	0.000000	0.000000
2.187	0.799429	0.000365	-102462.757812	12.527127	1.251436	0.035106	0.000000	0.000000
2.191	0.795108	0.000422	-102122.117188	13.498198	1.447295	0.041417	0.000000	0.000000
2.196	0.793429	0.000385	-101834.937500	13.563580	1.455650	0.041353	0.000000	0.000000
2.200	0.782091	0.000429	-101258.007812	13.683848	1.475813	0.041834	0.000000	0.000000
2.204	0.780171	0.000428	-101003.531250	13.609208	1.454086	0.041786	0.000000	0.000000
2.209	0.772727	0.000412	-100525.734375	13.268538	1.376840	0.038635	0.000000	0.000000
2.213	0.767087	0.000513	-100150.320312	14.136478	1.556811	0.045033	0.000000	0.000000
2.217	0.758679	0.000531	-99695.125000	13.782146	1.474030	0.041851	0.000000	0.000000
2.221	0.751195	0.000554	-99213.062500	14.696722	1.669692	0.047901	0.000000	0.000000
2.226	0.742005	0.000604	-98778.296875	14.377780	1.591860	0.044981	0.000000	0.000000
2.230	0.739460	0.000555	-98422.171875	13.751505	1.450611	0.042482	0.000000	0.000000
2.234	0.730899	0.000656	-97940.882812	14.974010	1.713401	0.049077	0.000000	0.000000
2.239	0.708566	0.000676	-97238.890625	14.715887	1.648508	0.046966	0.000000	0.000000
2.243	0.702925	0.000893	-96883.953125	15.827273	1.899630	0.054158	0.000000	0.000000
2.247	0.687389	0.000984	-96321.375000	15.300287	1.768471	0.051166	0.000000	0.000000
2.251	0.685685	0.000954	-95973.710938	16.335064	2.008100	0.059737	0.000000	0.000000
2.256	0.656930	0.001254	-95191.546875	16.801250	2.116290	0.057370	0.000000	0.000000
2.260	0.645241	0.001278	-94594.671875	16.863598	2.123947	0.057898	0.000000	0.000000
2.264	0.011532	0.002230	-92217.406250	18.873976	2.650479	0.067437	0.000000	0.000000
2.269	0.545638	0.002377	-92903.468750	18.942986	2.659818	0.069212	0.000000	0.000000
2.273	0.444508	0.002119	-91810.859375	15.374489	1.745489	0.049196	0.000000	0.000000
2.277	0.536214	0.001584	-92161.015625	15.597165	1.789661	0.048573	0.000000	0.000000
2.281	0.065467	0.001683	-90325.695312	15.923015	1.858219	0.054694	0.000000	0.000000
2.286	0.336035	0.002015	-90295.187500	16.352997	1.952589	0.053336	0.000000	0.000000
2.290	0.118646	0.002733	-89097.132812	14.491460	1.527613	0.042300	0.000000	0.000000
2.294	0.116781	0.002556	-88678.179688	14.017282	1.423943	0.042639	0.000000	0.000000
2.299	0.028103	0.001606	-87979.023438	14.899116	1.602747	0.045754	0.000000	0.000000
2.303	0.210009	0.001894	-87734.125000	14.927564	1.602891	0.045077	0.000000	0.000000
2.307	0.005163	0.003271	-87350.929688	14.492864	1.505288	0.043582	0.000000	0.000000
2.311	0.012680	0.003269	-86747.828125	15.726852	1.765968	0.048669	0.000000	0.000000
2.316	0.056354	0.002947	-86095.156250	14.150316	1.424369	0.039622	0.000000	0.000000
2.320	0.044143	0.002295	-85610.890625	13.526890	1.296821	0.035546	0.000000	0.000000
2.324	0.008248	0.002575	-85412.359375	14.587075	1.502511	0.042650	0.000000	0.000000
2.329	0.005391	0.002409	-85006.585938	14.149694	1.408559	0.038868	0.000000	0.000000
2.333	0.007298	0.002767	-84398.101562	14.026578	1.379073	0.038755	0.000000	0.000000
2.337	0.013517	0.002664	-84005.789062	14.066792	1.381910	0.039543	0.000000	0.000000
2.341	0.017101	0.001806	-83688.953125	13.834294	1.331718	0.037000	0.000000	0.000000
2.346	0.051347	0.001677	-83293.117188	13.564180	1.275549	0.038093	0.000000	0.000000
2.350	0.011692	0.002241	-82853.437500	14.150462	1.383138	0.038252	0.000000	0.000000
2.354	0.013351	0.001816	-82377.234375	13.527105	1.259365	0.036991	0.000000	0.000000
2.359	0.003582	0.001673	-82331.101562	12.973686	1.154221	0.032112	0.000000	0.000000
2.363	0.001405	0.002345	-81780.281250	13.743228	1.290514	0.035728	0.000000	0.000000
2.367	0.011947	0.002062	-81424.187500	13.467913	1.234843	0.034840	0.000000	0.000000
2.371	0.029821	0.001775	-81046.109375	13.135393	1.170378	0.032937	0.000000	0.000000
2.376	0.006578	0.001655	-80750.617188	13.420549	1.217341	0.033550	0.000000	0.000000
2.380	0.018454	0.002331	-80418.046875	13.762224	1.275509	0.035936	0.000000	0.000000
2.384	0.063534	0.001536	-80177.476562	13.529428	1.228294	0.035179	0.000000	0.000000
2.389	0.015640	0.002028	-79833.062500	13.428681	1.205731	0.034185	0.000000	0.000000
2.393	0.005954	0.001821	-79450.359375	13.028290	1.130840	0.031836	0.000000	0.000000
2.397	0.003750	0.001834	-79102.875000	13.298401	1.174008	0.034078	0.000000	0.000000
2.401	0.003553	0.001188	-78805.531250	13.000285	1.117961	0.032759	0.000000	0.000000
2.406	0.020794	0.001375	-78490.898438	13.191702	1.147027	0.032079	0.000000	0.000000
2.410	0.012039	0.001650	-78178.687500	12.926586	1.097473	0.029597	0.000000	0.000000
2.524	0.003266	0.000924	-71219.273438	11.739562	0.825530	0.023216	0.000000	0.000000
2.637	0.003221	0.000770	-65711.984375	10.949605	0.657642	0.018729	0.000000	0.000000
2.751	0.001260	0.000608	-61247.421875	10.139325	0.518307	0.014851	0.000000	0.000000
2.864	0.000397	0.000527	-57431.605469	9.997742	0.464763	0.013149	0.000000	0.000000
2.978	0.000092	0.000469	-54148.417969	9.668606	0.402143	0.011392	0.000000	0.000000
3.091	0.000666	0.000428	-51274.269531	9.477705	0.358549	0.009977	0.000000	0.000000
3.205	0.000038	0.000383	-48720.632812	9.389903	0.327436	0.009409	0.000000	0.000000
3.319	0.000502	0.000358	-46461.300781	9.186173	0.292299	0.008292	0.000000	0.000000
3.432	0.000813	0.000342	-44385.406250	9.002279	0.262443	0.007445	0.000000	0.000000
3.546	0.000425	0.000328	-42542.832031	8.758370	0.232755	0.006636	0.000000	0.000000
3.659	0.000112	0.000319	-40837.593750	8.784618	0.219843	0.006201	0.000000	0.000000
3.773	0.000298	0.000298	-39278.621094	8.638861	0.200001	0.005710	0.000000	0.000000
3.886	0.000170	0.000283	-37846.851562	8.627516	0.187988	0.005289	0.000000	0.000000
4.000	0.000256	0.000280	-36520.652344	8.372599	0.167132	0.004745	0.000000	0.000000
