T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-8191.994629	0.004232	0.000044	0.000033	0.000000	0.000000
0.607	0.999997	0.000001	-8191.944336	0.013555	0.000304	0.000078	0.000000	0.000000
0.715	0.999972	0.000004	-8191.535645	0.038404	0.001762	0.000150	0.000000	0.000000
0.822	0.999877	0.000009	-8190.000488	0.079916	0.005769	0.000275	0.000000	0.000000
0.929	0.999614	0.000015	-8185.757812	0.142122	0.014274	0.000504	0.000000	0.000000
1.037	0.999016	0.000026	-8176.263672	0.231757	0.030505	0.000966	0.000000	0.000000
1.144	0.997876	0.000038	-8158.431152	0.337044	0.052979	0.001643	0.000000	0.000000
1.251	0.995973	0.000053	-8129.291016	0.458052	0.081783	0.002425	0.000000	0.000000
1.359	0.992973	0.000074	-8084.433594	0.616832	0.125802	0.003794	0.000000	0.000000
1.466	0.988383	0.000097	-8018.042480	0.774037	0.170152	0.004874	0.000000	0.000000
1.573	0.981751	0.000132	-7926.197266	0.989885	0.241606	0.006917	0.000000	0.000000
1.681	0.972253	0.000172	-7801.895996	1.208662	0.315665	0.009039	0.000000	0.000000
1.788	0.958790	0.000235	-7638.343262	1.471758	0.413541	0.011853	0.000000	0.000000
1.895	0.939133	0.000328	-7420.226562	1.811645	0.557641	0.015349	0.000000	0.000000
2.003	0.909904	0.000479	-7139.262695	2.185497	0.726880	0.020676	0.000000	0.000000
2.110	0.863850	0.000829	-6771.541992	2.725108	1.018081	0.029384	0.000000	0.000000
2.114	0.859089	0.000866	-6748.631836	2.751810	1.033927	0.028712	0.000000	0.000000
2.119	0.855783	0.000882	-6730.848633	2.720563	1.006494	0.029174	0.000000	0.000000
2.123	0.854739	0.000863	-6714.074219	2.766262	1.036394	0.029689	0.000000	0.000000
2.127	0.852379	0.000933	-6696.593750	2.821416	1.073794	0.031417	0.000000	0.000000
2.131	0.848286	0.000915	-6669.399414	2.908201	1.136285	0.031710	0.000000	0.000000
2.136	0.844055	0.001079	-6655.133789	2.895673	1.122000	0.031875	0.000000	0.000000
2.140	0.841428	0.001004	-6630.634277	2.918261	1.135013	0.031809	0.000000	0.000000
2.144	0.842754	0.000950	-6628.062012	2.888882	1.107833	0.031403	0.000000	0.000000
2.149	0.834210	0.001197	-6598.516602	3.032410	1.215784	0.035389	0.000000	0.000000
2.153	0.833850	0.001020	-6576.145996	2.992396	1.179201	0.032466	0.000000	0.000000
2.157	0.829987	0.001158	-6560.059570	2.990978	1.173407	0.033179	0.000000	0.000000
2.161	0.824621	0.001119	-6531.531738	2.897508	1.096851	0.031706	0.000000	0.000000
2.166	0.813368	0.001439	-6496.290527	3.125555	1.271253	0.036105	0.000000	0.000000
2.170	0.807300	0.001409	-6473.553711	3.095424	1.241941	0.033767	0.000000	0.000000
2.174	0.819831	0.001072	-6483.626953	3.016769	1.174981	0.033706	0.000000	0.000000
2.179	0.803342	0.001484	-6437.815918	3.197207	1.314553	0.036259	0.000000	0.000000
2.183	0.811413	0.001226	-6443.689453	3.207213	1.317605	0.036989	0.000000	0.000000
2.187	0.800609	0.001395	-6405.948730	3.191864	1.299913	0.037856	0.000000	0.000000
2.191	0.807482	0.001159	-6409.668457	3.071810	1.199263	0.034418	0.000000	0.000000
2.196	0.794896	0.001418	-6362.301758	3.311211	1.388041	0.039512	0.000000	0.000000
