T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-32767.982422	0.007497	0.000034	0.000015	-0.000000	0.000000
0.607	0.999996	0.000001	-32767.720703	0.029725	0.000366	0.000039	0.000000	0.000000
0.715	0.999973	0.000002	-32766.250000	0.075361	0.001697	0.000086	0.000000	0.000000
0.822	0.999877	0.000004	-32760.000000	0.161372	0.005881	0.000199	0.000000	0.000000
0.929	0.999614	0.000008	-32743.052734	0.284069	0.014257	0.000438	0.000000	0.000000
1.037	0.999029	0.000013	-32705.828125	0.455590	0.029471	0.000891	0.000000	0.000000
1.144	0.997911	0.000019	-32635.708984	0.676581	0.053371	0.001576	0.000000	0.000000
1.251	0.995982	0.000027	-32517.611328	0.926117	0.083581	0.002433	0.000000	0.000000
1.359	0.992949	0.000037	-32336.167969	1.224280	0.123896	0.003533	0.000000	0.000000
1.466	0.988323	0.000050	-32069.427734	1.585457	0.178468	0.005024	0.000000	0.000000
1.573	0.981679	0.000067	-31702.537109	2.004113	0.247584	0.007168	0.000000	0.000000
1.681	0.972167	0.000087	-31204.435547	2.431346	0.319338	0.009320	0.000000	0.000000
1.788	0.958688	0.000118	-30547.708984	2.981270	0.424217	0.012236	0.000000	0.000000
1.895	0.939669	0.000163	-29698.279297	3.610237	0.553631	0.015424	0.000000	0.000000
2.003	0.910622	0.000242	-28567.013672	4.445348	0.751821	0.021458	0.000000	0.000000
2.110	0.862981	0.000442	-27086.800781	5.562315	1.060391	0.030291	0.000000	0.000000
2.114	0.858237	0.000499	-26975.953125	5.528464	1.043282	0.029742	0.000000	0.000000
2.119	0.857813	0.000427	-26929.359375	5.621393	1.074291	0.029986	0.000000	0.000000
2.123	0.855753	0.000429	-26860.650391	5.527102	1.034364	0.028417	0.000000	0.000000
2.127	0.851787	0.000470	-26785.095703	5.708608	1.098973	0.031187	0.000000	0.000000
2.131	0.846970	0.000569	-26700.775391	5.623916	1.062322	0.030647	0.000000	0.000000
2.136	0.845233	0.000542	-26620.009766	5.803987	1.126903	0.031538	0.000000	0.000000
2.140	0.843077	0.000484	-26548.646484	5.724704	1.091939	0.030314	0.000000	0.000000
2.144	0.839940	0.000491	-26469.056641	5.719317	1.085533	0.030668	0.000000	0.000000
2.149	0.838109	0.000472	-26413.931641	5.653953	1.056635	0.029122	0.000000	0.000000
2.153	0.832906	0.000531	-26317.203125	5.621830	1.040507	0.029509	0.000000	0.000000
2.157	0.832691	0.000491	-26258.972656	5.764902	1.089798	0.029619	0.000000	0.000000
2.161	0.828313	0.000531	-26171.666016	6.101436	1.215913	0.034007	0.000000	0.000000
2.166	0.821884	0.000591	-26059.191406	6.093854	1.208097	0.035543	0.000000	0.000000
2.170	0.818105	0.000633	-25990.251953	6.036148	1.180648	0.032938	0.000000	0.000000
2.174	0.813637	0.000773	-25907.400391	6.395326	1.320116	0.038914	0.000000	0.000000
2.179	0.810446	0.000693	-25825.064453	6.413398	1.322369	0.036158	0.000000	0.000000
2.183	0.804994	0.000746	-25731.750000	6.616177	1.401792	0.040387	0.000000	0.000000
2.187	0.793103	0.000861	-25567.218750	6.776988	1.465005	0.040334	0.000000	0.000000
2.191	0.798271	0.000760	-25544.335938	6.609113	1.387880	0.039350	0.000000	0.000000
2.196	0.792691	0.000802	-25449.294922	6.547595	1.356850	0.038194	0.000000	0.000000
2.200	0.789369	0.000787	-25373.189453	6.695990	1.413528	0.039453	0.000000	0.000000
2.204	0.778693	0.000819	-25231.013672	6.593372	1.365210	0.037759	0.000000	0.000000
2.209	0.778951	0.000841	-25188.822266	6.819463	1.454781	0.039828	0.000000	0.000000
2.213	0.770784	0.000837	-25043.541016	6.725490	1.409487	0.041185	0.000000	0.000000
2.217	0.761603	0.000980	-24941.433594	7.028784	1.533533	0.045079	0.000000	0.000000
2.221	0.757363	0.000957	-24831.003906	7.239626	1.620644	0.044707	0.000000	0.000000
2.226	0.747405	0.001109	-24732.716797	7.132897	1.567159	0.044425	0.000000	0.000000
2.230	0.726292	0.001380	-24520.097656	7.618707	1.781037	0.053731	0.000000	0.000000
2.234	0.735870	0.001077	-24519.529297	6.985622	1.491601	0.042893	0.000000	0.000000
2.239	0.686365	0.002586	-24249.113281	8.337899	2.116857	0.058569	0.000000	0.000000
2.243	0.701823	0.001541	-24208.564453	7.663820	1.781589	0.049590	0.000000	0.000000
2.247	0.700731	0.001448	-24115.750000	7.692029	1.787889	0.049787	0.000000	0.000000
2.251	0.675313	0.001925	-23953.148438	8.267059	2.057339	0.061277	0.000000	0.000000
2.256	0.503570	0.007212	-23496.859375	9.905530	2.942438	0.075290	0.000001	0.000000
2.260	0.656994	0.001925	-23688.093750	8.349204	2.082540	0.056203	0.000000	0.000000
2.264	0.671362	0.001504	-23674.095703	8.147467	1.975617	0.054898	0.000000	0.000000
2.269	0.631052	0.002082	-23440.355469	7.631402	1.726728	0.047274	0.000000	0.000000
2.273	0.584891	0.003078	-23219.443359	8.707280	2.239447	0.060797	0.000000	0.000000
2.277	0.492891	0.004764	-23001.162109	9.030705	2.399843	0.068246	0.000001	0.000000
2.281	0.382818	0.004844	-22559.734375	9.492054	2.641355	0.079675	0.000001	0.000000
2.286	0.395351	0.003987	-22526.751953	8.367630	2.044942	0.058407	0.000000	0.000000
2.290	0.348592	0.004685	-22336.857422	8.115561	1.916400	0.053184	0.000000	0.000000
2.294	0.209175	0.004553	-22225.371094	7.052827	1.441955	0.040383	0.000000	0.000000
2.299	0.230453	0.007112	-21982.705078	8.043482	1.868496	0.053996	0.000001	0.000000
2.303	0.343992	0.004347	-22065.476562	8.174276	1.922581	0.054699	0.000000	0.000000
2.307	0.137028	0.007429	-21777.013672	7.922195	1.799128	0.048631	0.000001	0.000000
2.311	0.204992	0.006059	-21744.806641	7.257076	1.504120	0.041196	0.000001	0.000000
2.316	0.204304	0.006786	-21637.119141	8.099129	1.866495	0.052891	0.000001	0.000000
2.320	0.240762	0.004117	-21508.939453	6.932812	1.362583	0.038446	0.000000	0.000000
2.324	0.175470	0.004204	-21344.470703	6.741244	1.283575	0.035273	0.000000	0.000000
2.329	0.137605	0.003333	-21234.099609	7.174839	1.448656	0.041089	0.000000	0.000000
2.333	0.138941	0.005439	-21133.005859	7.344334	1.512337	0.043262	0.000001	0.000000
2.337	0.087051	0.004213	-21006.195312	6.869451	1.318237	0.038011	0.000000	0.000000
2.341	0.138480	0.004195	-20928.410156	6.741279	1.264861	0.036492	0.000000	0.000000
2.346	0.062269	0.004795	-20854.871094	7.002561	1.359827	0.039007	0.000000	0.000000
2.350	0.070962	0.003401	-20718.300781	7.059391	1.376952	0.039794	0.000000	0.000000
2.354	0.098184	0.004132	-20637.492188	6.357599	1.112725	0.031441	0.000000	0.000000
2.359	0.013542	0.003890	-20550.007812	6.655415	1.214989	0.033763	0.000000	0.000000
2.363	0.012992	0.002913	-20370.845703	6.606254	1.192767	0.033981	0.000000	0.000000
2.367	0.051177	0.003240	-20379.970703	6.700410	1.222570	0.034520	0.000000	0.000000
2.371	0.005086	0.003925	-20250.484375	6.624210	1.190606	0.032640	0.000000	0.000000
2.376	0.001424	0.003533	-20149.203125	6.386727	1.102779	0.031437	0.000000	0.000000
2.380	0.028347	0.003012	-20093.492188	6.875717	1.273509	0.036000	0.000000	0.000000
2.384	0.004864	0.003582	-19954.583984	6.431917	1.110412	0.031760	0.000000	0.000000
2.389	0.000634	0.004175	-19936.466797	6.671952	1.190555	0.034342	0.000000	0.000000
2.393	0.008001	0.002746	-19836.947266	6.669974	1.185591	0.033077	0.000000	0.000000
2.397	0.024842	0.004169	-19839.505859	6.626235	1.165913	0.032636	0.000000	0.000000
2.401	0.005056	0.003359	-19700.611328	6.345117	1.065271	0.030319	0.000000	0.000000
2.406	0.011493	0.003495	-19604.558594	6.218324	1.019480	0.028352	0.000000	0.000000
2.410	0.024133	0.002530	-19540.216797	6.413258	1.080546	0.030532	0.000000	0.000000
2.524	0.003803	0.002011	-17804.736328	5.779147	0.800233	0.022008	0.000000	0.000000
2.637	0.000133	0.001545	-16419.681641	5.416976	0.643823	0.018124	0.000000	0.000000
2.751	0.001147	0.001262	-15312.396484	5.250241	0.555888	0.015494	0.000000	0.000000
2.864	0.001377	0.001032	-14363.822266	4.972449	0.459863	0.013165	0.000000	0.000000
2.978	0.000334	0.000924	-13537.542969	4.948183	0.421312	0.012009	0.000000	0.000000
3.091	0.000571	0.000861	-12812.471680	4.721362	0.355907	0.010051	0.000000	0.000000
3.205	0.000212	0.000763	-12178.199219	4.608648	0.315508	0.008869	0.000000	0.000000
3.319	0.001651	0.000732	-11612.208008	4.574440	0.289930	0.008238	0.000000	0.000000
3.432	0.000822	0.000684	-11095.314453	4.568233	0.270325	0.007717	0.000000	0.000000
3.546	0.000061	0.000664	-10634.323242	4.496410	0.245383	0.006864	0.000000	0.000000
3.659	0.000307	0.000610	-10206.383789	4.420643	0.222689	0.006309	0.000000	0.000000
3.773	0.000008	0.000603	-9827.068359	4.360554	0.203827	0.005837	0.000000	0.000000
