T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999280	0.000311	-463.000000	0.000000	0.023533	0.000502
1.151	0.997821	0.000544	-462.000000	0.000000	0.051812	0.001026
1.303	0.994707	0.000889	-459.000000	0.000000	0.098407	0.001980
1.454	0.988947	0.001382	-455.000000	1.000000	0.168971	0.003434
1.606	0.979167	0.002158	-447.000000	1.000000	0.287261	0.005702
1.757	0.962756	0.003071	-435.000000	1.000000	0.373884	0.007810
1.909	0.936104	0.005008	-419.000000	2.000000	0.580717	0.011674
2.060	0.888430	0.008783	-394.000000	3.000000	0.822973	0.017088
2.071	0.883235	0.009209	-392.000000	3.000000	0.874968	0.017580
2.083	0.878094	0.010118	-389.000000	3.000000	0.931561	0.019063
2.094	0.872001	0.010234	-387.000000	3.000000	0.848714	0.017126
2.106	0.864594	0.011142	-384.000000	3.000000	0.969793	0.019427
2.117	0.859020	0.011436	-382.000000	3.000000	0.959712	0.019207
2.129	0.850229	0.013874	-379.000000	4.000000	1.106087	0.021721
2.140	0.843826	0.012750	-376.000000	3.000000	0.987392	0.018730
2.151	0.837147	0.013228	-373.000000	4.000000	1.072254	0.022946
2.163	0.827367	0.015394	-370.000000	4.000000	1.142096	0.021979
2.174	0.815414	0.017919	-367.000000	4.000000	1.180594	0.023421
2.186	0.807314	0.018493	-364.000000	4.000000	1.307226	0.027040
2.197	0.789600	0.022983	-360.000000	4.000000	1.381544	0.026609
2.209	0.774793	0.023782	-356.000000	4.000000	1.403444	0.027376
2.220	0.757183	0.025587	-352.000000	4.000000	1.406016	0.027083
2.231	0.733182	0.050377	-348.000000	5.000000	2.109449	0.040374
2.243	0.735337	0.025975	-345.000000	4.000000	1.498615	0.029232
2.254	0.687446	0.055247	-339.000000	5.000000	1.980825	0.039302
2.266	0.585294	0.104911	-331.000000	6.000000	2.787455	0.054294
2.277	0.550430	0.079350	-326.000000	5.000000	1.922081	0.038729
2.289	0.455339	0.113942	-319.000000	6.000000	2.642122	0.045867
2.300	0.242193	0.138371	-312.000000	5.000000	1.825673	0.033707
2.311	0.158252	0.135963	-306.000000	5.000000	1.483379	0.029836
2.323	0.240135	0.129653	-303.000000	5.000000	1.699628	0.032202
2.334	0.154427	0.118271	-300.000000	4.000000	1.383191	0.028466
2.346	0.103416	0.078586	-295.000000	4.000000	1.197224	0.024100
2.357	0.099318	0.079168	-291.000000	4.000000	1.343392	0.027340
2.369	0.087315	0.055737	-288.000000	5.000000	1.402703	0.027230
2.380	0.088023	0.076983	-285.000000	4.000000	1.271817	0.025198
2.391	0.126187	0.090454	-282.000000	5.000000	1.344738	0.029670
2.403	0.075793	0.052841	-278.000000	4.000000	1.103991	0.021245
2.414	0.088353	0.065147	-276.000000	4.000000	1.043843	0.020372
2.426	0.053930	0.038611	-273.000000	4.000000	1.012473	0.019766
2.437	0.064415	0.054744	-271.000000	4.000000	1.014723	0.020084
2.449	0.059582	0.044944	-268.000000	4.000000	0.975274	0.019559
2.460	0.060705	0.044872	-265.000000	4.000000	0.920413	0.018090
2.680	0.035310	0.025740	-227.000000	3.000000	0.559347	0.011130
2.900	0.021012	0.016628	-200.000000	3.000000	0.448811	0.008942
3.120	0.019260	0.014673	-179.000000	3.000000	0.345531	0.006814
3.340	0.016892	0.012545	-163.000000	3.000000	0.272521	0.005297
3.560	0.015181	0.011601	-150.000000	3.000000	0.235532	0.004635
3.780	0.013333	0.009969	-139.000000	3.000000	0.204983	0.004229
4.000	0.012921	0.009830	-130.000000	3.000000	0.172939	0.003438
