T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999277	0.000154	-1852.000000	0.000000	0.023255	0.000463
1.151	0.997808	0.000279	-1846.000000	0.000000	0.053898	0.001116
1.303	0.994706	0.000461	-1836.000000	1.000000	0.105429	0.002097
1.454	0.988965	0.000696	-1817.000000	2.000000	0.171504	0.003353
1.606	0.979123	0.001054	-1786.000000	3.000000	0.275610	0.005431
1.757	0.963019	0.001544	-1740.000000	3.000000	0.375841	0.007563
1.909	0.936540	0.002404	-1673.000000	5.000000	0.558525	0.011002
2.060	0.888090	0.004375	-1574.000000	6.000000	0.836832	0.016581
2.071	0.883304	0.004841	-1566.000000	7.000000	0.882293	0.018104
2.083	0.877510	0.005053	-1555.000000	7.000000	0.980868	0.019799
2.094	0.871433	0.005620	-1546.000000	7.000000	0.933874	0.018887
2.106	0.865121	0.006151	-1536.000000	7.000000	1.049762	0.020945
2.117	0.858642	0.005917	-1525.000000	7.000000	1.031753	0.020469
2.129	0.850883	0.006522	-1514.000000	7.000000	0.967369	0.019712
2.140	0.842613	0.007369	-1502.000000	8.000000	1.144551	0.024007
2.151	0.833554	0.007630	-1490.000000	8.000000	1.076342	0.021979
2.163	0.825492	0.007578	-1479.000000	8.000000	1.124786	0.022742
2.174	0.814553	0.008474	-1465.000000	8.000000	1.127372	0.023821
2.186	0.800973	0.012291	-1451.000000	9.000000	1.492736	0.033940
2.197	0.781315	0.019733	-1437.000000	9.000000	1.496385	0.030184
2.209	0.772870	0.011958	-1422.000000	9.000000	1.386509	0.027798
2.220	0.756018	0.016508	-1408.000000	10.000000	1.569260	0.030894
2.231	0.741030	0.013657	-1392.000000	9.000000	1.489662	0.029160
2.243	0.689722	0.022483	-1367.000000	10.000000	1.631950	0.032618
2.254	0.662341	0.028944	-1350.000000	11.000000	1.872144	0.037840
2.266	0.539014	0.026586	-1317.000000	11.000000	1.832104	0.037564
2.277	0.511714	0.047994	-1301.000000	13.000000	2.681878	0.049784
2.289	0.401994	0.037629	-1273.000000	10.000000	1.522705	0.029606
2.300	0.180364	0.057054	-1243.000000	9.000000	1.416473	0.026838
2.311	0.084503	0.050795	-1227.000000	12.000000	2.147545	0.041425
2.323	0.082716	0.060023	-1207.000000	9.000000	1.348996	0.027899
2.334	0.074954	0.051361	-1193.000000	9.000000	1.207845	0.024554
2.346	0.039201	0.025307	-1178.000000	9.000000	1.194337	0.024581
2.357	0.038695	0.030239	-1163.000000	9.000000	1.166559	0.023654
2.369	0.055692	0.039035	-1152.000000	9.000000	1.181077	0.024132
2.380	0.041243	0.026804	-1139.000000	9.000000	1.309996	0.027237
2.391	0.042842	0.031747	-1126.000000	9.000000	1.280211	0.025772
2.403	0.029903	0.022480	-1113.000000	9.000000	1.090310	0.021163
2.414	0.033292	0.024108	-1101.000000	8.000000	1.058974	0.021231
2.426	0.035132	0.024659	-1090.000000	8.000000	1.049955	0.021905
2.437	0.022347	0.018854	-1079.000000	8.000000	0.946288	0.018790
2.449	0.030469	0.024859	-1070.000000	8.000000	0.944387	0.018787
2.460	0.029109	0.023238	-1060.000000	8.000000	0.917417	0.019456
2.680	0.016117	0.012759	-904.000000	7.000000	0.624422	0.012725
2.900	0.011734	0.009030	-798.000000	7.000000	0.450693	0.009201
3.120	0.009217	0.006813	-716.000000	6.000000	0.368973	0.007202
3.340	0.008430	0.006573	-652.000000	6.000000	0.294187	0.006041
3.560	0.007291	0.005375	-599.000000	6.000000	0.231978	0.004597
3.780	0.007046	0.005276	-555.000000	6.000000	0.200346	0.003896
4.000	0.006582	0.004985	-517.000000	6.000000	0.172365	0.003409
