T	M_avg	M_err	E_avg	E_err	Cv	Cv_err
1.000	0.999308	0.001194	-29.000000	0.000000	0.021860	0.000667
1.151	0.997755	0.002288	-29.000000	0.000000	0.057252	0.001513
1.303	0.994660	0.003708	-29.000000	0.000000	0.106800	0.002409
1.454	0.988928	0.005616	-29.000000	0.000000	0.173588	0.003935
1.606	0.978768	0.008412	-28.000000	0.000000	0.265322	0.005660
1.757	0.963540	0.012281	-28.000000	0.000000	0.410203	0.008287
1.909	0.935564	0.022140	-27.000000	0.000000	0.584002	0.012224
2.060	0.887861	0.033770	-25.000000	0.000000	0.837748	0.017272
2.071	0.884271	0.038235	-25.000000	0.000000	0.864409	0.017029
2.083	0.878476	0.036510	-25.000000	0.000000	0.878255	0.017446
2.094	0.877636	0.036652	-25.000000	0.000000	0.939838	0.020431
2.106	0.861402	0.046677	-24.000000	0.000000	0.988120	0.019561
2.117	0.862998	0.038388	-24.000000	0.000000	0.874296	0.017218
2.129	0.850875	0.048599	-24.000000	0.000000	1.022893	0.020967
2.140	0.842220	0.047434	-24.000000	0.000000	0.995600	0.018715
2.151	0.829084	0.059028	-24.000000	1.000000	1.104325	0.021933
2.163	0.825151	0.062913	-24.000000	1.000000	1.239960	0.024353
2.174	0.824612	0.057130	-24.000000	1.000000	1.124359	0.022927
2.186	0.809479	0.063006	-23.000000	1.000000	1.179496	0.024297
2.197	0.769800	0.096196	-23.000000	1.000000	1.504516	0.028064
2.209	0.802141	0.066620	-23.000000	1.000000	1.244629	0.024839
2.220	0.694987	0.184635	-22.000000	1.000000	1.877889	0.035580
2.231	0.760958	0.078994	-22.000000	1.000000	1.312971	0.026383
2.243	0.728243	0.114167	-22.000000	1.000000	1.485822	0.028654
2.254	0.736046	0.089096	-22.000000	1.000000	1.523272	0.029614
2.266	0.568808	0.218589	-21.000000	1.000000	1.953657	0.037403
2.277	0.596552	0.210084	-21.000000	1.000000	2.155955	0.038769
2.289	0.607938	0.189151	-21.000000	1.000000	1.791727	0.033004
2.300	0.609484	0.185072	-21.000000	1.000000	1.709038	0.033371
2.311	0.505554	0.228707	-20.000000	1.000000	1.965837	0.037086
2.323	0.504081	0.202003	-20.000000	1.000000	1.665639	0.030244
2.334	0.372094	0.213863	-19.000000	1.000000	1.530689	0.031989
2.346	0.440959	0.200702	-19.000000	1.000000	1.603318	0.031834
2.357	0.432926	0.204551	-19.000000	1.000000	1.603700	0.031783
2.369	0.328027	0.189091	-18.000000	1.000000	1.243312	0.025281
2.380	0.360351	0.187336	-18.000000	1.000000	1.312555	0.027448
2.391	0.348765	0.203287	-18.000000	1.000000	1.512490	0.031669
2.403	0.258523	0.172182	-18.000000	1.000000	1.058433	0.021412
2.414	0.272657	0.181519	-18.000000	1.000000	1.262108	0.025365
2.426	0.246119	0.155436	-18.000000	1.000000	0.878801	0.017816
2.437	0.249209	0.171152	-17.000000	1.000000	1.087019	0.022406
2.449	0.227243	0.153790	-17.000000	1.000000	0.916071	0.019485
2.460	0.169177	0.118871	-17.000000	1.000000	0.870441	0.017224
2.680	0.123281	0.090732	-15.000000	0.000000	0.631451	0.012532
2.900	0.096771	0.076972	-13.000000	0.000000	0.466599	0.009508
3.120	0.076595	0.056993	-12.000000	0.000000	0.351606	0.006878
3.340	0.066793	0.050224	-11.000000	0.000000	0.295003	0.006006
3.560	0.059976	0.044828	-10.000000	0.000000	0.233235	0.004788
3.780	0.054273	0.041028	-9.000000	0.000000	0.201494	0.004214
4.000	0.051071	0.038673	-9.000000	0.000000	0.166281	0.003336
