T	M_avg	M_err	E_avg	E_err	Cv	Cv_err	Chi	Chi_err
0.500	1.000000	0.000000	-32767.992188	0.005057	0.000016	0.000010	-0.000000	0.000000
0.607	0.999996	0.000001	-32767.732422	0.029386	0.000357	0.000041	0.000000	0.000000
0.715	0.999973	0.000002	-32766.222656	0.075352	0.001696	0.000082	0.000000	0.000000
0.822	0.999878	0.000004	-32760.052734	0.158400	0.005666	0.000201	0.000000	0.000000
0.929	0.999615	0.000008	-32743.150391	0.282784	0.014128	0.000418	0.000000	0.000000
1.037	0.999021	0.000012	-32705.351562	0.447913	0.028486	0.000839	0.000000	0.000000
1.144	0.997889	0.000019	-32634.457031	0.671009	0.052496	0.001501	0.000000	0.000000
1.251	0.995985	0.000027	-32517.746094	0.910589	0.080801	0.002320	0.000000	0.000000
1.359	0.992930	0.000037	-32335.597656	1.238637	0.126818	0.003535	0.000000	0.000000
1.466	0.988355	0.000050	-32071.253906	1.603283	0.182504	0.005178	0.000000	0.000000
1.573	0.981707	0.000067	-31703.000000	2.005269	0.247870	0.007041	0.000000	0.000000
1.681	0.972299	0.000088	-31210.021484	2.475158	0.330950	0.009397	0.000000	0.000000
1.788	0.958624	0.000120	-30545.300781	3.047539	0.443286	0.012781	0.000000	0.000000
1.895	0.939339	0.000164	-29690.343750	3.601818	0.551052	0.015677	0.000000	0.000000
2.003	0.910482	0.000239	-28566.404297	4.378844	0.729494	0.020658	0.000000	0.000000
2.110	0.863256	0.000386	-27079.185547	5.272182	0.952656	0.026717	0.000000	0.000000
2.114	0.860209	0.000397	-26986.064453	5.352342	0.977868	0.027811	0.000000	0.000000
2.119	0.859493	0.000415	-26954.810547	5.371397	0.980863	0.029048	0.000000	0.000000
2.123	0.856129	0.000418	-26872.460938	5.431232	0.998792	0.028151	0.000000	0.000000
2.127	0.853549	0.000441	-26803.707031	5.595119	1.055712	0.029370	0.000000	0.000000
2.131	0.849027	0.000466	-26699.750000	5.698499	1.090685	0.030777	0.000000	0.000000
2.136	0.847292	0.000436	-26639.111328	5.540815	1.027025	0.028831	0.000000	0.000000
2.140	0.845309	0.000453	-26565.484375	5.678160	1.074256	0.030099	0.000000	0.000000
2.144	0.841185	0.000488	-26489.244141	5.775658	1.107026	0.031491	0.000000	0.000000
2.149	0.837229	0.000496	-26410.937500	5.800182	1.111997	0.032074	0.000000	0.000000
2.153	0.832557	0.000600	-26319.578125	6.044671	1.202915	0.033658	0.000000	0.000000
2.157	0.830549	0.000567	-26259.703125	5.998193	1.179786	0.032814	0.000000	0.000000
2.161	0.824974	0.000565	-26141.251953	6.026731	1.186320	0.032166	0.000000	0.000000
2.166	0.818487	0.000670	-26033.824219	6.119665	1.218353	0.034618	0.000000	0.000000
2.170	0.819480	0.000617	-26001.089844	6.111792	1.210424	0.035125	0.000000	0.000000
2.174	0.818397	0.000583	-25940.427734	6.061984	1.186087	0.033458	0.000000	0.000000
2.179	0.803555	0.000849	-25774.738281	6.095297	1.194445	0.034034	0.000000	0.000000
2.183	0.802554	0.000779	-25694.052734	6.560052	1.378111	0.038492	0.000000	0.000000
2.187	0.799598	0.000732	-25608.191406	6.522899	1.357210	0.038126	0.000000	0.000000
2.191	0.794898	0.000813	-25522.533203	6.639935	1.400855	0.040214	0.000000	0.000000
2.196	0.785884	0.000928	-25397.859375	6.568835	1.365668	0.037131	0.000000	0.000000
2.200	0.787534	0.000702	-25351.257812	6.399115	1.290965	0.036218	0.000000	0.000000
2.204	0.767700	0.001552	-25200.228516	7.226436	1.639958	0.045566	0.000000	0.000000
2.209	0.772261	0.000931	-25118.095703	7.205358	1.624083	0.047307	0.000000	0.000000
2.213	0.771752	0.000765	-25067.492188	6.481122	1.308922	0.035931	0.000000	0.000000
2.217	0.761613	0.001111	-24950.457031	6.940525	1.495262	0.043113	0.000000	0.000000
2.221	0.753501	0.000928	-24819.099609	6.882211	1.464574	0.040637	0.000000	0.000000
2.226	0.730280	0.001354	-24650.207031	7.035625	1.524708	0.041833	0.000000	0.000000
